stateId,state_name,residential_2016,commercial_2016,electric_power_2016,industrial_2016,transportation_2016,total_2016,pop_2016,residential_2017,commercial_2017,electric_power_2017,industrial_2017,transportation_2017,total_2017,pop_2017,residential_2018,commercial_2018,electric_power_2018,industrial_2018,transportation_2018,total_2018,pop_2018,,
AL,Alabama,1.866079,2.217912,55.61908,21.169018,33.935715,114.807803,4866824,1.73722,2.109007,51.011591,21.071414,33.537407,109.466639,4877989,2.253351,2.353446,53.877053,21.966203,32.823505,113.273558,4891628,,
AR,Arkansas,1.661093,2.935833,30.485044,8.24057,19.14872,62.471261,2991815,1.569669,3.034352,32.059433,8.486367,19.320817,64.470637,3003855,2.131901,3.499834,36.95861,9.055052,19.460264,71.105661,3012161,,
AZ,Arizona,2.189328,3.039411,44.621254,4.585258,36.278484,90.713734,6944767,2.065237,2.903124,43.836035,4.957675,36.53497,90.297041,7048088,2.24605,2.896218,46.808888,4.665753,37.244208,93.861118,7164228,,
CA,California,24.111283,18.868747,36.571855,69.013227,203.75085,352.315963,39149186,25.096708,18.967241,32.989207,68.728515,209.491028,355.272699,39337785,24.790427,19.635641,33.740812,67.901332,210.573226,356.641438,39437463,,
CO,Colorado,7.5335,3.939029,35.653208,12.46601,29.430849,89.022596,5543844,7.318748,4.059131,35.173035,12.979834,29.755117,89.285865,5617421,8.005302,4.171126,34.167901,13.511225,30.746967,90.602522,5697155,,
CT,Connecticut,6.262787,3.908143,6.988835,1.835024,15.303097,34.297885,3579830,6.498549,3.923584,6.288668,1.836898,15.504263,34.051962,3575324,7.453266,4.330905,8.053289,1.859607,15.883797,37.580864,3574561,,
DE,Delaware,0.837271,0.9268,3.590924,3.408242,4.960505,13.723742,949989,0.823913,0.945666,2.95071,3.067477,5.168401,12.956168,957942,1.032066,1.10925,2.55689,3.12017,5.480282,13.298658,966985,,
FL,Florida,1.187609,7.338368,106.350266,12.042058,113.254423,240.172723,20627237,1.209417,6.939231,103.385163,12.348759,115.635594,239.518163,20977089,1.356428,7.080331,100.871743,12.275818,121.651075,243.235395,21254926,,
GA,Georgia,6.846275,4.594668,57.91288,13.296354,62.949834,145.600011,10308442,6.506641,4.422831,52.423655,12.761102,66.537564,142.651794,10417031,7.807707,4.815845,52.262541,13.314503,64.637346,142.837942,10519389,,
IA,Iowa,4.430947,3.743227,25.08415,19.851075,21.362503,74.471902,3133210,4.354894,3.801798,25.86074,22.541893,20.36675,76.926075,3143734,5.453208,4.275741,29.433301,23.107576,20.551445,82.821271,3149900,,
